N,n,MI
42,6,0.21586800849895615
31,4,0.13431686289626943
12,9,1.5869554292219004
37,15,0.44453003952232795
22,19,1.506930290513377
38,10,0.1924203873599506
15,13,1.086139659242714
25,4,0.09089721857325017
32,19,0.13381704238070213
32,8,0.18750904128492424
45,5,0.10471684049101612
25,17,0.991476451006033
36,2,0.00759092644195359
29,12,0.3354495470381895
33,6,0.2986738027896144
33,9,0.2216486254621399
12,4,0.4811391641847292
32,9,0.20385227441207746
11,3,0.10043692316198484
37,6,0.15481469223535935
39,10,0.2913489939410123
16,13,0.6607227534348721
21,9,0.5312427825131387
28,12,0.6283904986617541
37,7,0.24773991592526612
40,17,0.7005701932165411
20,7,0.3853190029462666
10,12,1.6368422192990018
39,5,0.15193387505447412
43,2,0.01804366056141042
11,2,0.06723472114626994
32,2,0.047470111612607335
26,9,0.5121496590298413
2,10,11.02302625481998
45,8,0.11412296885953929
28,2,0.0930537804778322
19,3,0.39010557677234436
30,1,0.04967385811794889
43,9,0.2228544898646483
6,6,2.3248234392884064
28,6,0.24626629534218744
24,6,0.39431198420388397
35,7,0.18915470227328246
16,17,1.7126414976437823
3,13,10.169991594668796
10,1,0.1295637956612034
5,16,4.836101207325892
49,13,0.21449102080277443
35,14,0.23051214311828438
48,13,0.4673029927004886
29,18,0.8268655874932662
5,3,0.4436773925282418
16,7,0.6679898650600471
18,19,1.3967150245932527
14,12,0.7542564050684241
10,11,1.4584382500546935
23,5,0.3155181893778383
21,19,1.037714946355992
20,15,0.427383887342395
18,14,0.8751684608797374
12,9,0.945438548568153
25,4,0.1407965292794478
21,1,0.03507657238019114
31,15,0.2097481920992301
38,15,0.513793371911083
19,3,0.11324242231590535
49,11,0.14239974212621398
43,13,0.18021226705714882
12,6,1.3447333830591721
9,8,1.4997793532919739
38,8,0.07372244182873189
33,18,0.44705150863092147
43,8,0.24618304911978406
11,18,1.7882864746993032
28,11,0.13200792496674296
48,15,0.6389758141621946
7,9,1.4733023985367277
48,12,0.09408093127591592
14,18,1.3334670808039288
9,3,0.07436994992376278
45,10,0.2145119028884741
2,6,10.058858486854215
43,19,0.4743037594621275
13,1,0.13634523005679874
41,10,0.33529893110874376
42,18,0.880685946209712
47,18,0.40717389853677144
39,18,0.5432648949192878
31,14,0.574245824068047
28,7,0.22147763316337524
48,5,0.09008248193572446
39,14,0.1412893618594797
28,10,0.38076459895436354
14,12,1.2754140740566586
21,16,0.8950750101822287
31,14,0.3419537135179355
41,4,0.05451058386514097
47,10,0.2588584536181493
16,5,0.44063788979983437
26,4,0.16625790384108935
30,7,0.23933735132104414
24,1,0.1087353416357812
45,7,0.3223684461832494
17,17,1.819829511773721
48,17,0.4913914998636968
30,6,0.04056448254406453
48,18,0.47108154398127855
9,13,2.030694389498521
13,14,1.493591256597099
5,8,2.5425183253052275
33,12,0.6575894364886739
2,6,7.989682950613444
14,3,0.2628244690169781
19,11,0.3434502319665876
27,9,0.5514503181283423
50,10,0.16385333747870232
49,12,0.4097920653410645
2,7,9.808330840368328
16,7,0.6806544341304348
46,10,0.24208059459672387
37,9,0.24547058182577738
45,5,0.05883157853773649
17,18,0.9845443707401746
31,9,0.18998743310714417
16,16,0.65913065781143
25,1,0.011561631913498974
2,4,1.9549204344350655
28,6,0.2713853524290153
5,1,0.19549407789650564
22,4,0.038064761606952074
13,17,2.166777539408802
27,2,0.024889875349094703
27,7,0.1313275068716853
2,3,4.148649430847147
7,9,2.91381262106196
19,8,0.49948173466457796
10,16,1.5947107587998346
19,18,1.2569743778912263
28,19,0.7234469693474734
6,4,0.8730322404446018
31,3,0.039916120217436755
5,13,3.1419900391596585
29,11,0.4483393544858793
5,11,3.294892069392099
4,8,2.071438289118502
40,5,0.10547425016620157
46,19,0.44244022106010933
12,18,2.0047718462575217
8,11,1.7544312030364226
30,12,0.17111109064306698
31,12,0.36476035291736103
13,6,0.4097126781489315
40,4,0.10211705331431925
6,10,2.4500239144560143
21,7,0.2358744329351885
50,6,0.08562007368993524
20,3,0.09282615596580238
36,7,0.3156152369618086
3,17,11.336989133997475
41,7,0.04996673516211737
10,6,0.47828569846928143
14,12,1.100805085034593
32,2,0.08180156784420745
22,15,1.1235671789317465
23,2,0.03632369658876053
5,13,3.366503085289455
43,6,0.04868086792654494
18,17,0.3180773282595344
41,15,0.2360733129926409
38,17,0.47761465587344265
17,6,0.18708637400766784
25,4,0.23340711861257127
29,16,0.3949875730871711
32,17,0.6707426622247502
42,17,0.2171097746208774
19,18,1.264342767275831
16,11,0.8865490722346526
30,4,0.06581731753027492
24,14,0.6783123979647563
20,17,1.1969326419579778
39,13,0.21935461618669813
28,14,0.4730137918476123
48,13,0.4440427372512695
36,11,0.2666173290660665
46,7,0.14952431649851325
32,9,0.3671614139102015
40,14,0.15431589591707165
32,15,0.26464606322694273
44,7,0.10008022428510246
34,2,0.07418567736780282
18,7,0.051093648085819884
2,4,2.2013571756350423
12,5,0.28926245908395726
33,6,0.19178321527368875
44,8,0.3293714906273681
41,8,0.12212127684483544
26,15,0.29088267356272013
21,12,0.6237901100649985
7,8,1.4139249366896887
33,9,0.35106060580350196
49,9,0.25967518875306017
50,11,0.3382362286117085
3,2,0.7248474611222167
12,9,1.5216768283338649
21,17,1.1525628342670378
34,5,0.048053353045459005
20,15,1.017927098589627
5,18,6.873347852430414
32,16,0.4881181799004289
31,7,0.3830322022498192
48,8,0.20645673293890535
21,10,0.5090387580302931
21,13,0.3482266687494944
21,15,0.5086220354062947
6,11,2.1135254579405442
26,8,0.37795434485110446
24,10,0.5966301573450181
24,5,0.178083812730001
21,9,0.4068979615410815
